 # Date: Thu May 15 11:49:02 2025
 # Fr =   9.1804747589727161E-009
 # tau =  0.50000496597833677      , uO =   0.0000000000000000     
 # Iteration No.:        10000
 # Lx =250    Ly =   5
 #      Results of the computations
 # x   y     h(i,j)      u(i,j)      v(i,j)
 #------------------------------------------
   1   1    1.999997    0.000000    0.000000
   1   2    1.999997    0.000000   -0.000000
   1   3    1.999997    0.000000    0.000000
   1   4    1.999997    0.000000   -0.000000
   1   5    1.999997    0.000000   -0.000000
   2   1    2.000003   -0.000000    0.000000
   2   2    2.000003   -0.000000    0.000000
   2   3    2.000003   -0.000000   -0.000000
   2   4    2.000003   -0.000000    0.000000
   2   5    2.000003   -0.000000    0.000000
   3   1    1.999997    0.000000   -0.000000
   3   2    1.999997    0.000000    0.000000
   3   3    1.999997    0.000000    0.000000
   3   4    1.999997    0.000000    0.000000
   3   5    1.999997    0.000000   -0.000000
   4   1    2.000003   -0.000000    0.000000
   4   2    2.000003   -0.000000   -0.000000
   4   3    2.000003   -0.000000    0.000000
   4   4    2.000003   -0.000000    0.000000
   4   5    2.000003   -0.000000   -0.000000
   5   1    1.999997    0.000000   -0.000000
   5   2    1.999997    0.000000   -0.000000
   5   3    1.999997    0.000000    0.000000
   5   4    1.999997    0.000000   -0.000000
   5   5    1.999997    0.000000    0.000000
   6   1    2.000003   -0.000000   -0.000000
   6   2    2.000003   -0.000000   -0.000000
   6   3    2.000003   -0.000000    0.000000
   6   4    2.000003   -0.000000    0.000000
   6   5    2.000003   -0.000000   -0.000000
   7   1    1.999996    0.000000    0.000000
   7   2    1.999996    0.000000    0.000000
   7   3    1.999996    0.000000   -0.000000
   7   4    1.999996    0.000000    0.000000
   7   5    1.999996    0.000000    0.000000
   8   1    2.000004   -0.000000    0.000000
   8   2    2.000004   -0.000000   -0.000000
   8   3    2.000004   -0.000000   -0.000000
   8   4    2.000004   -0.000000   -0.000000
   8   5    2.000004   -0.000000   -0.000000
   9   1    1.999996    0.000000   -0.000000
   9   2    1.999996    0.000000    0.000000
   9   3    1.999996    0.000000   -0.000000
   9   4    1.999996    0.000000   -0.000000
   9   5    1.999996    0.000000    0.000000
  10   1    2.000004   -0.000000    0.000000
  10   2    2.000004   -0.000000   -0.000000
  10   3    2.000004   -0.000000    0.000000
  10   4    2.000004   -0.000000    0.000000
  10   5    2.000004   -0.000000   -0.000000
  11   1    1.999996    0.000000   -0.000000
  11   2    1.999996    0.000000    0.000000
  11   3    1.999996    0.000000    0.000000
  11   4    1.999996    0.000000   -0.000000
  11   5    1.999996    0.000000    0.000000
  12   1    2.000004   -0.000000    0.000000
  12   2    2.000004   -0.000000   -0.000000
  12   3    2.000004   -0.000000    0.000000
  12   4    2.000004   -0.000000   -0.000000
  12   5    2.000004   -0.000000    0.000000
  13   1    1.999996    0.000000    0.000000
  13   2    1.999996    0.000000    0.000000
  13   3    1.999996    0.000000   -0.000000
  13   4    1.999996    0.000000    0.000000
